,datetime_jd,datetime_str,Canberra DSS-43,Parkes,Madrid DSS-63,Lovell,Effelsberg,AVN-Ghana,Goldstone,Green Bank,Very Large Array,Arecibo,FAST,EDSCC,Usuda Deep Space Center 
0,2462240.063,2029-Apr-13 13:30,30.191079948425006,30.18472654046557,32.0828716721369,32.000981524561986,31.979114653950404,32.034655424497444,31.38354607389294,31.832824489821157,31.496637303103896,31.941016133416607,30.808687901831824,30.85764838339038,30.70943004411193
1,2462240.066,2029-Apr-13 13:35,29.906998576130597,29.900335538909026,31.79478017560117,31.713383407762887,31.689575499389893,31.744344258463514,31.115917133107683,31.561815157537993,31.229158275721236,31.6702263835588,30.512296856954826,30.568491626594728,30.421321503098202
2,2462240.069,2029-Apr-13 13:40,29.623266986598967,29.616301710162293,31.50639548212818,31.42555140170675,31.399802736780117,31.453672483484098,30.848327602144884,31.290648410350016,30.961665615775942,31.39918570477038,30.21610365039164,30.27957675603189,30.133506710006586
3,2462240.073,2029-Apr-13 13:45,29.339662350468345,29.33233306558883,31.21597679983751,31.136009319404756,31.10773399501133,31.159966255312796,30.585436079064905,31.022780863937562,30.698795643812694,31.13120431493264,29.916400816377738,29.989479180778087,29.844900818278703
4,2462240.076,2029-Apr-13 13:50,29.056748758016255,29.049135319177644,30.92692744820203,30.847649847674376,30.817438341356862,30.86847581861131,30.317908334791465,30.751227968300306,30.43124156109113,30.85955954455189,29.62070309341242,29.701146593370947,29.557786427881847
5,2462240.08,2029-Apr-13 13:55,28.774209789700013,28.76625741855638,30.635658449332087,30.557436943238205,30.524709716302482,30.573718122278006,30.05505540535767,30.48282623074177,30.168249184255778,30.590756418510068,29.321691538007716,29.411834173722582,29.27011628790627
6,2462240.083,2029-Apr-13 14:00,28.492137434585786,28.483919723167745,30.345953976380528,30.268559120079054,30.233904293708388,30.281423879607292,29.78756246903539,30.21086431329813,29.90060564389001,30.31848438110501,29.02652971849098,29.124108599507665,28.98372673543876
7,2462240.087,2029-Apr-13 14:05,28.210689225572334,28.202158573530408,30.05384806721218,29.977687827323884,29.94053352991729,29.985635466140003,29.524710322623143,29.94189780365052,29.63745215494362,30.04882921317098,28.728259675929642,28.835610221328658,28.697020259792392
8,2462240.09,2029-Apr-13 14:10,27.929481415662675,27.920704943992337,29.763499728022776,29.688302284406962,29.649233031214845,29.692554330070262,29.25722544779202,29.66950497698964,29.369691552557263,29.775908093639075,28.43367496594216,28.548516621296375,28.41138003095929
9,2462240.094,2029-Apr-13 14:15,27.64914866240105,27.640086135277272,29.470572732058603,29.396787182806943,29.355240121005064,29.395758790728713,28.99433625217449,29.399944212839443,29.106338497555512,29.505372142295,28.136197719007257,28.26086138524117,28.12566503973683
