,datetime_jd,datetime_str,Arecibo Telescope,Goldstone Radio Telescope,Green Bank Interferometer (GBI),Green Bank Telescope (GBT),Green Bank 140 Foot Telescope (140foot),Very Large Array (VLA),Very Long Baseline Array (VLBA),FAST,CDSCC,EDSCC,Tsukuba Space Center ,Usuda Deep Space Center ,GREAT,Okinawa Tracking and Communications Station ,Masuda Tracking and Communications Station ,Katsuura Tracking and Communications Station ,Bisei Space Guard Center,Kamisaibara Space Guard Center ,Uchinoura Space Center 
0,2462240.0625,2029-Apr-13 13:30,31.939220060744486,31.381215259584714,31.831008580665287,31.83100416722929,31.831040836768803,31.49429136760846,31.494284180187833,30.810661994754923,30.191357931857375,30.85849378123523,30.702620128912578,30.710128819315567,30.710130913745655,30.632213153328095,30.66622186833204,30.689203282543797,30.710201616701173,30.710201616701173,30.675374471132475
1,2462240.065972222,2029-Apr-13 13:35,31.67012877963538,31.115787124827072,31.561719704676623,31.561715298523296,31.561750351141704,31.22902790701161,31.22902072548643,30.51240481293919,29.907011054108995,30.568536371844598,30.4143752413091,30.421357642057938,30.42135598251421,30.33962583302591,30.374869795757274,30.400957998174285,30.41990645872704,30.41990645872704,30.38409225396661
2,2462240.069444444,2029-Apr-13 13:40,31.4007006995157,30.85040031524973,31.292218145073004,31.292213749632204,31.292247176247816,30.963736371989487,30.9637292007654,30.214417025406586,29.62311648469251,30.278901941605824,30.12652544027579,30.132975946166034,30.132970511979337,30.047431200902643,30.08390780604894,30.113112943302564,30.129991994903587,30.129991994903587,30.09319726633929
3,2462240.072916667,2029-Apr-13 13:45,31.13092879546778,30.585047100675876,31.02249719766145,31.02249281636887,31.022524608659904,30.69840868010523,30.698401523601035,29.91670992685453,29.339680199901707,29.989597545603658,29.839077425896324,29.844990680781383,29.84498145322916,29.755638423461413,29.79334432630162,29.825674863636905,29.840465962122767,29.840465962122767,29.802697868646128
4,2462240.076388889,2029-Apr-13 13:50,30.860806206755402,30.319719288452863,30.75254994759039,30.752545583880412,30.752575734246353,30.433036377792707,30.433029240434585,29.619294350905086,29.056708322438713,29.700629468867355,29.552037132548328,29.557408036978362,29.55739499935935,29.464256043636798,29.503187104887825,29.538649743986184,29.551335372924644,29.551335372924644,29.512601736515787
5,2462240.079861111,2029-Apr-13 13:55,30.590326242335482,30.054409157488987,30.482369927852034,30.48236558516216,30.482394086778456,30.167611448243584,30.1676043344672,29.32218179892599,28.774206760875625,29.41200481494389,29.265411238615318,29.270234953470272,29.27021809109825,29.17329327508363,29.213444597569374,29.2520443051488,29.262607982020594,29.262607982020594,29.22291725955768
6,2462240.083333333,2029-Apr-13 14:00,30.319482575982917,29.78910873088024,30.211950610824722,30.211946292587776,30.211973139332528,29.902125718731515,29.902118632975967,29.025382993942106,28.4921816202967,29.123729694005988,28.979205472889394,28.983477418613035,28.98345671883768,28.882758474319736,28.924124358925525,28.965864324648923,28.974290606168175,28.974290606168175,28.933651919918738
7,2462240.086805556,2029-Apr-13 14:05,30.048268951724936,29.52381036756407,29.941285815036238,29.941281524684662,29.941306711206106,29.636571317252024,29.636564263961827,28.728909462258567,28.21063881435323,28.835811096533067,28.693426354820314,28.69714221960096,28.697117671834,28.592660753105207,28.635234724543245,28.680116362637463,28.686390868707186,28.686390868707186,28.644813986734608
8,2462240.090277778,2029-Apr-13 14:10,29.776679151892402,29.25850593071783,29.67036913786378,29.67036487882429,29.670388400542326,29.370939947911644,29.370932931531964,28.43277269363694,27.92958433406408,28.54825563307126,28.408079981402555,28.411235735912914,28.41120733174131,28.303008962062627,28.34678371434381,28.394806558578242,28.398916033482347,28.398916033482347,28.35641140919836
9,2462240.09375,2029-Apr-13 14:15,29.504707558519787,28.993187979647907,29.399194772683064,29.399190548376758,29.399212401432266,29.105224023960133,29.105217048936517,28.13698383853324,27.64902420506542,28.26106982201036,28.123172400609707,28.125764283011325,28.125732016087795,28.01381177348694,28.058779207149012,28.109941002245645,28.111873255880315,28.111873255880315,28.068451997818297
