,targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,delta (Rt),Longitude,Latitude
109,99942 Apophis (2004 MN4),2029-Apr-14 04:05,2462240.67,19.7,0.25,,,24.79059,26.47632,25.19847,26.62401,-7951.39,-4624.77,,,,,8893.779,61666.381,7.552,,999,,17,11,2.26515,0.4541,62253.63,*,0.464669,,,,,188.34,-0.07,,,204.0864,0.0167,1.002033935,-5.584974,0.001008869,5.9926863,0.0083905,31.188727,6.2777297,17.2927,/T,162.6903,11.8,0.235,0.0152,8.262,69.901,-15.42012,Psc,69.185624,33.1066588,15.057404,,,136.011724,-35.182845,,0,9.598,6.309,11.419,1.242,33.022,89.11,11.486,0.8853,0.000061,0.67,2.45,0.000006,288.1617,,162.6877,131.4354,59.7531,23.66293972,120.9170741,26.47632
110,99942 Apophis (2004 MN4),2029-Apr-14 04:10,2462240.674,19.7,0.25,,,24.58773,26.37014,24.99519,26.51808,-7758.09,-4528.86,,,,,8160.576,61280.506,6.985,,999,,17,11,2.23103,0.449,61778.75,*,0.459199,,,,,187.7,-0.07,,,204.0899,0.0168,1.002022741,-5.5799284,0.001020888,5.9943413,0.00849047,31.1888328,6.27279,17.1608,/T,162.8221,11.6,0.2366,0.0153,7.629,69.811,-15.38029,Psc,69.185624,32.8910705,15.026915,,,135.823913,-35.326916,,0,9.541,6.314,11.37,1.27,33.188,90.73,11.441,0.8774,0.0000603,0.66,2.39,0.000006,288.1925,,162.8196,131.606,60.3118,23.94484959,119.4607918,26.37014
111,99942 Apophis (2004 MN4),2029-Apr-14 04:15,2462240.677,19.7,0.25,,,24.38995,26.26616,24.79701,26.41432,-7571.71,-4435.76,,,,,7445.463,60902.506,6.423,,999,,17,11,2.19834,0.4439,61320.4,*,0.453854,,,,,187.08,-0.07,,,204.0934,0.017,1.002011556,-5.5749949,0.00103291,5.9958803,0.00859045,31.1889259,6.267961,17.0334,/T,162.9494,11.5,0.2382,0.0155,7.003,69.724,-15.34122,Psc,69.185624,32.6805596,14.996939,,,135.639826,-35.467352,,0,9.485,6.318,11.322,1.297,33.35,92.3,11.396,0.8697,0.0000596,0.64,2.34,0.000006,288.2224,,162.9469,131.7861,60.865,24.22683445,118.0095896,26.26616
112,99942 Apophis (2004 MN4),2029-Apr-14 04:20,2462240.681,19.7,0.25,,,24.19706,26.16432,24.60373,26.3127,-7391.94,-4345.36,,,,,6747.774,60532.151,5.866,,999,,17,11,2.167,0.4389,60877.94,*,0.448631,,,,,186.46,-0.07,,,204.0969,0.0171,1.002000381,-5.5701699,0.001044936,5.9973102,0.00869046,31.1890073,6.263239,16.9105,/T,163.0722,11.3,0.2398,0.0156,6.383,69.64,-15.30287,Psc,69.185624,32.4749503,14.9674655,,,135.459355,-35.604287,,0,9.43,6.322,11.276,1.324,33.509,93.8,11.353,0.8623,0.0000589,0.63,2.29,0.000006,288.2514,,163.0697,131.9759,61.4128,24.50888901,116.563277,26.16432
113,99942 Apophis (2004 MN4),2029-Apr-14 04:25,2462240.684,19.7,0.25,,,24.00889,26.06454,24.41518,26.21313,-7218.47,-4257.57,,,,,6066.871,60169.221,5.313,,999,,17,11,2.13696,0.434,60450.77,*,0.443525,,,,,185.84,-0.06,,,204.1005,0.0173,1.001989216,-5.56545,0.001056964,5.9986371,0.0087905,31.1890778,6.2586207,16.7919,/T,163.1908,11.2,0.2415,0.0157,5.77,69.558,-15.26523,Psc,69.185624,32.2740746,14.9384842,,,135.282394,-35.737845,,0,9.376,6.326,11.23,1.35,33.664,95.26,11.311,0.8551,0.0000582,0.62,2.24,0.000006,288.2796,,163.1884,132.1756,61.955,24.79100828,115.1216848,26.06454
114,99942 Apophis (2004 MN4),2029-Apr-14 04:30,2462240.688,19.7,0.25,,,23.82527,25.96677,24.23118,26.11557,-7051,-4172.3,,,,,5402.148,59813.501,4.765,,999,,17,11,2.10815,0.4293,60038.31,*,0.438534,,,,,185.24,-0.06,,,204.104,0.0174,1.00197806,-5.5608317,0.001068994,5.999867,0.00889056,31.1891384,6.2541028,16.6773,/T,163.3053,11.1,0.2432,0.0159,5.163,69.478,-15.22828,Psc,69.185624,32.0777723,14.9099851,,,135.108842,-35.868146,,0,9.324,6.329,11.185,1.375,33.817,96.66,11.269,0.8482,0.0000576,0.6,2.19,0.000006,288.307,,163.3029,132.3854,62.4917,25.07318757,113.6846426,25.96677
115,99942 Apophis (2004 MN4),2029-Apr-14 04:35,2462240.691,19.7,0.25,,,23.64603,25.87096,24.05157,26.01995,-6889.28,-4089.45,,,,,4753.027,59464.785,4.222,,999,,17,11,2.08051,0.4246,59640.02,*,0.433653,,,,,184.64,-0.06,,,204.1075,0.0176,1.001966913,-5.5563119,0.001081028,6.0010051,0.00899063,31.1891899,6.2496821,16.5667,/T,163.4158,11,0.2449,0.016,4.563,69.401,-15.19201,Psc,69.185624,31.8858899,14.8819581,,,134.938601,-35.995306,,0,9.273,6.332,11.141,1.4,33.966,98.02,11.229,0.8415,0.000057,0.59,2.15,0.000006,288.3336,,163.4135,132.6056,63.0229,25.35542243,112.2519803,25.87096
116,99942 Apophis (2004 MN4),2029-Apr-14 04:40,2462240.694,19.7,0.25,,,23.47101,25.77704,23.87621,25.92622,-6733.03,-4008.96,,,,,4118.959,59122.875,3.684,,999,,17,11,2.05398,0.4201,59255.37,*,0.428878,,,,,184.04,-0.06,,,204.111,0.0177,1.001955775,-5.5518874,0.001093063,6.0020569,0.00909073,31.1892331,6.2453556,16.4598,/T,163.5226,10.9,0.2467,0.0161,3.97,69.326,-15.15639,Psc,69.185624,31.6982808,14.8543933,,,134.771577,-36.119433,,0,9.223,6.335,11.098,1.425,34.113,99.33,11.189,0.8351,0.0000563,0.58,2.1,0.000006,288.3595,,163.5203,132.8364,63.5485,25.63770869,110.8235381,25.77704
117,99942 Apophis (2004 MN4),2029-Apr-14 04:45,2462240.698,19.7,0.25,,,23.30008,25.68496,23.70493,25.83433,-6582.03,-3930.72,,,,,3499.418,58787.578,3.151,,999,,17,11,2.02852,0.4156,58883.85,*,0.424206,,,,,183.45,-0.06,,,204.1145,0.0179,1.001944646,-5.5475553,0.0011051,6.0030269,0.00919084,31.1892688,6.2411205,16.3566,/T,163.6257,10.8,0.2484,0.0163,3.383,69.253,-15.12142,Psc,69.185624,31.5148046,14.8272809,,,134.607681,-36.240632,,0,9.174,6.337,11.055,1.448,34.256,100.6,11.15,0.8289,0.0000557,0.57,2.06,0.000006,288.3847,,163.6235,133.078,64.0684,25.92004238,109.3991855,25.68496
118,99942 Apophis (2004 MN4),2029-Apr-14 04:50,2462240.701,19.7,0.25,,,23.13308,25.59467,23.5376,25.74423,-6436.03,-3854.67,,,,,2893.902,58458.71,2.623,,999,,18,11,2.00408,0.4112,58524.97,*,0.419635,,,,,182.87,-0.06,,,204.118,0.018,1.001933526,-5.5433128,0.001117139,6.0039199,0.00929096,31.1892975,6.236974,16.2569,/T,163.7253,10.7,0.2502,0.0164,2.803,69.182,-15.08707,Psc,69.185624,31.3353272,14.8006116,,,134.446826,-36.359002,,0,9.126,6.339,11.014,1.471,34.397,101.83,11.112,0.8228,0.0000551,0.55,2.01,0.000005,288.4092,,163.7231,133.3309,64.5827,26.20241979,107.9787633,25.59467
119,99942 Apophis (2004 MN4),2029-Apr-14 04:55,2462240.705,19.7,0.25,,,22.9699,25.50613,23.37409,25.65586,-6294.83,-3780.72,,,,,2301.933,58136.091,2.1,,999,,18,11,1.9806,0.4069,58178.28,*,0.41516,,,,,182.3,-0.06,,,204.1216,0.0182,1.001922414,-5.5391571,0.00112918,6.0047401,0.0093911,31.1893198,6.2329134,16.1606,/T,163.8215,10.6,0.252,0.0165,2.228,69.113,-15.05333,Psc,69.185624,31.1597198,14.7743759,,,134.288927,-36.474639,,0,9.079,6.341,10.973,1.494,34.535,103.01,11.074,0.817,0.0000545,0.54,1.97,0.000005,288.433,,163.8194,133.5953,65.0912,26.48483738,106.562161,25.50613
120,99942 Apophis (2004 MN4),2029-Apr-14 05:00,2462240.708,19.7,0.25,,,22.81039,25.41928,23.21426,25.56918,-6158.21,-3708.82,,,,,1723.054,57819.549,1.582,,999,,18,11,1.95805,0.4027,57843.34,*,0.410779,,,,,181.73,-0.06,,,204.1251,0.0183,1.00191131,-5.5350856,0.001141223,6.0054914,0.00949126,31.1893365,6.2289362,16.0676,/T,163.9145,10.5,0.2538,0.0167,1.661,69.046,-15.02019,Psc,69.185624,30.9878592,14.7485646,,,134.133904,-36.587635,,0,9.033,6.343,10.933,1.516,34.67,104.16,11.038,0.8114,0.000054,0.53,1.93,0.000005,288.4563,,163.9124,133.8716,65.5941,26.76729183,105.1492288,25.41928
121,99942 Apophis (2004 MN4),2029-Apr-14 05:05,2462240.712,19.7,0.25,,,22.65443,25.33407,23.058,25.48414,-6025.98,-3638.87,,,,,1156.827,57508.917,1.069,,999,,18,11,1.93638,0.3986,57519.7,*,0.406489,,,,,181.17,-0.06,,,204.1286,0.0185,1.001900214,-5.5310959,0.001153266,6.0061778,0.00959142,31.189348,6.2250399,15.9777,/T,164.0043,10.4,0.2557,0.0168,1.099,68.98,-14.98762,Psc,69.185624,30.8196275,14.7231687,,,133.981678,-36.698076,,0,8.988,6.345,10.894,1.538,34.803,105.27,11.002,0.806,0.0000534,0.52,1.89,0.000005,288.4789,,164.0022,134.1602,66.0913,27.04978,103.7398462,25.33407
122,99942 Apophis (2004 MN4),2029-Apr-14 05:10,2462240.715,19.7,0.25,,,22.50191,25.25047,22.90518,25.4007,-5897.96,-3570.83,,,,,602.835,57204.035,0.56,,999,,18,11,1.91555,0.3946,57206.98,*,0.402288,,,,,180.61,-0.06,,,204.1321,0.0186,1.001889126,-5.5271854,0.001165312,6.0068027,0.0096916,31.1893547,6.2212221,15.8908,/T,164.0911,10.3,0.2576,0.0169,0.544,68.916,-14.95563,Psc,69.185623,30.6549114,14.6981794,,,133.832176,-36.806047,,0,8.944,6.346,10.855,1.559,34.934,106.35,10.967,0.8008,0.0000529,0.51,1.86,0.000005,288.501,,164.0891,134.4613,66.5827,27.33229892,102.333904,25.25047
123,99942 Apophis (2004 MN4),2029-Apr-14 05:15,2462240.719,19.7,0.25,,,22.35271,25.16843,22.75569,25.31881,-5773.96,-3504.62,,,,,60.679,56904.745,0.057,,999,,18,11,1.89553,0.3906,56904.78,*,0.398171,,,,,180.06,-0.05,,,204.1356,0.0188,1.001878046,-5.5233519,0.001177358,6.0073695,0.00979179,31.1893573,6.2174806,15.8069,/T,164.1749,10.3,0.2595,0.0171,359.994,68.854,-14.92418,Psc,69.185623,30.4936022,14.6735881,,,133.685325,-36.911627,,0,8.901,6.347,10.817,1.58,35.062,107.39,10.932,0.7958,0.0000523,0.5,1.82,0.000005,288.5225,,164.173,134.7755,67.0683,27.61484577,100.9312817,25.16843
124,99942 Apophis (2004 MN4),2029-Apr-14 05:20,2462240.722,19.7,0.25,,,22.20673,25.0879,22.60943,25.23844,-5653.84,-3440.18,,,,,-470.026,56610.9,359.558,,999,,18,11,1.87628,0.3867,56612.71,*,0.394138,,,,,179.52,-0.05,,,204.1391,0.0189,1.001866974,-5.5195931,0.001189405,6.0078814,0.00989198,31.1893561,6.2138132,15.7258,/L,164.256,10.2,0.2614,0.0172,359.451,68.794,-14.89328,Psc,69.185623,30.3355957,14.6493862,,,133.541054,-37.014894,,0,8.859,6.348,10.78,1.6,35.188,108.4,10.898,0.7909,0.0000518,0.49,1.79,0.000005,288.5435,,164.254,135.1032,67.5481,27.8974179,99.53187951,25.0879
125,99942 Apophis (2004 MN4),2029-Apr-14 05:25,2462240.726,19.7,0.25,,,22.06387,25.00884,22.46628,25.15954,-5537.41,-3377.46,,,,,-989.644,56322.352,359.065,,999,,18,11,1.85777,0.3829,56330.43,*,0.390186,,,,,178.98,-0.05,,,204.1427,0.0191,1.001855909,-5.5159069,0.001201454,6.0083414,0.00999219,31.1893514,6.2102177,15.6473,/L,164.3343,10.1,0.2633,0.0174,358.914,68.735,-14.86289,Psc,69.185623,30.180792,14.6255656,,,133.399296,-37.11592,,0,8.817,6.349,10.744,1.62,35.311,109.38,10.865,0.7862,0.0000513,0.48,1.75,0.000005,288.564,,164.3324,135.4449,68.0221,28.1800128,98.13559727,25.00884
126,99942 Apophis (2004 MN4),2029-Apr-14 05:30,2462240.729,19.7,0.25,,,21.92402,24.93123,22.32616,25.08206,-5424.55,-3316.38,,,,,-1498.53,56038.963,358.576,,999,,18,11,1.83996,0.3792,56057.59,*,0.386312,,,,,178.45,-0.05,,,204.1462,0.0192,1.001844852,-5.5122912,0.001213503,6.0087523,0.0100924,31.1893438,6.2066922,15.5716,/L,164.41,10.1,0.2653,0.0175,358.383,68.677,-14.83303,Psc,69.185623,30.0290949,14.602118,,,133.259986,-37.214776,,0,8.777,6.35,10.708,1.64,35.433,110.32,10.833,0.7817,0.0000508,0.47,1.72,0.000005,288.584,,164.4081,135.801,68.4903,28.4626281,96.7423247,24.93123
127,99942 Apophis (2004 MN4),2029-Apr-14 05:35,2462240.733,19.7,0.25,,,21.7871,24.85501,22.18897,25.00599,-5315.09,-3256.91,,,,,-1997.01,55760.596,358.092,,999,,18,11,1.82283,0.3755,55793.85,*,0.382513,,,,,177.92,-0.05,,,204.1497,0.0194,1.001833801,-5.508744,0.001225553,6.0091167,0.01019262,31.1893335,6.2032347,15.4983,/L,164.4831,10,0.2672,0.0177,357.858,68.621,-14.80366,Psc,69.185623,29.8804121,14.5790357,,,133.123062,-37.311531,,0,8.737,6.351,10.673,1.659,35.552,111.24,10.801,0.7773,0.0000503,0.46,1.69,0.000005,288.6035,,164.4813,136.1721,68.9526,28.74526155,95.35198246,24.85501
128,99942 Apophis (2004 MN4),2029-Apr-14 05:40,2462240.736,19.7,0.25,,,21.653,24.78016,22.05462,24.93127,-5208.92,-3198.99,,,,,-2485.42,55487.12,357.613,,999,,18,11,1.80635,0.3719,55538.9,*,0.378789,,,,,177.4,-0.05,,,204.1532,0.0195,1.001822758,-5.5052634,0.001237604,6.0094371,0.01029284,31.1893209,6.1998432,15.4275,/L,164.5539,9.982,0.2692,0.0178,357.339,68.566,-14.77478,Psc,69.185623,29.734655,14.5563108,,,132.988462,-37.406248,,0,8.698,6.351,10.639,1.678,35.669,112.13,10.77,0.7731,0.0000498,0.46,1.65,0.000005,288.6226,,164.5521,136.5589,69.409,29.02791102,93.96446022,24.78016
129,99942 Apophis (2004 MN4),2029-Apr-14 05:45,2462240.74,19.7,0.25,,,21.52165,24.70663,21.92301,24.85788,-5105.89,-3142.56,,,,,-2964.06,55218.409,357.139,,999,,18,12,1.79048,0.3684,55292.43,*,0.375136,,,,,176.89,-0.05,,,204.1567,0.0197,1.001811721,-5.5018476,0.001249655,6.009716,0.01039307,31.1893062,6.1965161,15.359,/L,164.6222,9.935,0.2713,0.0179,356.825,68.513,-14.74638,Psc,69.185623,29.5917382,14.5339358,,,132.856129,-37.498991,,0,8.66,6.352,10.605,1.696,35.785,113,10.739,0.769,0.0000493,0.45,1.62,0.000005,288.6412,,164.6205,136.9617,69.8595,29.31057451,92.57968798,24.70663
130,99942 Apophis (2004 MN4),2029-Apr-14 05:50,2462240.743,19.7,0.25,,,21.39295,24.6344,21.79407,24.78577,-5005.89,-3087.57,,,,,-3433.24,54954.34,356.67,,999,,18,12,1.77521,0.365,55054.15,*,0.371552,,,,,176.38,-0.05,,,204.1603,0.0198,1.001800692,-5.4984947,0.001261707,6.0099555,0.0104933,31.1892898,6.1932515,15.2928,/L,164.6883,9.892,0.2733,0.0181,356.317,68.461,-14.71844,Psc,69.185623,29.4515797,14.5119033,,,132.726004,-37.589819,,0,8.622,6.352,10.571,1.714,35.898,113.84,10.709,0.765,0.0000488,0.44,1.59,0.000005,288.6594,,164.6866,137.3814,70.3041,29.59325012,91.1975654,24.6344
131,99942 Apophis (2004 MN4),2029-Apr-14 05:55,2462240.747,19.7,0.25,,,21.26684,24.56342,21.66772,24.71492,-4908.8,-3033.99,,,,,-3893.23,54694.794,356.205,,999,,18,12,1.7605,0.3616,54823.78,*,0.368037,,,,,175.88,-0.05,,,204.1638,0.0199,1.001789669,-5.4952031,0.001273759,6.0101579,0.01059353,31.1892719,6.1900478,15.2288,/L,164.7522,9.853,0.2754,0.0182,355.816,68.41,-14.69096,Psc,69.185623,29.3141006,14.4902061,,,132.598033,-37.67879,,0,8.585,6.352,10.539,1.731,36.01,114.65,10.68,0.7613,0.0000484,0.43,1.57,0.000005,288.6772,,164.7506,137.8186,70.7427,29.87593604,89.81803316,24.56342
132,99942 Apophis (2004 MN4),2029-Apr-14 06:00,2462240.75,19.7,0.25,,,21.14323,24.49367,21.54387,24.6453,-4814.5,-2981.76,,,,,-4344.3,54439.657,355.746,,999,,18,12,1.74634,0.3582,54601.04,*,0.364587,,,,,175.38,-0.05,,,204.1673,0.0201,1.001778652,-5.4919711,0.001285812,6.010325,0.01069377,31.1892528,6.1869033,15.167,/L,164.814,9.817,0.2774,0.0184,355.319,68.36,-14.66393,Psc,69.185623,29.179225,14.4688372,,,132.472163,-37.765959,,0,8.549,6.352,10.506,1.749,36.119,115.44,10.651,0.7576,0.0000479,0.42,1.54,0.000005,288.6946,,164.8124,138.2739,71.1754,30.15863057,88.44100092,24.49367
